,,,,,,
Acronym or term,Definition,Extended definition,Full Definition,BMT,B@W ,B4A
Fidelity bond,,"Every plan covered by ERISA must be properly bonded to cover the interest in the plans. That means a specific insurance policy whose named insurer is the plan itself. The bond must cover for losses through fraudulent activity against the plan. It’s required to cover 10% of plan assets. The covered amount is included in the form 5500, which we prepare. We work with an outside vendor that helps us track the reported amounts",https://www.investopedia.com/terms/f/fidelity-bond.asp,,𐄂,
Fiduciary,,"A person or organization that is legally bound to act on behalf of another person, putting their clients' interests ahead of their own.",https://www.investopedia.com/terms/f/fiduciary.asp,,,
FINRA,Financial Industry Regulatory Authority,A private American corporation that acts as a self-regulatory organization which regulates member brokerage firms and exchange markets.,https://www.investopedia.com/terms/f/finra.asp,,,
Form 5500,,"A document which needs to be submitted annually to both IRS and DOL. The DOL posts them publicly. It’s not technically a tax return; it’s an informational return. The information that needs to be present within them includes: identity of the plan sponsor (with their EIN and the plan number), characteristics of the plan (do they use auto-enrollment, do they have a match, is there profit-sharing and if so what type, is it a single employer plan or a union plan), how many people are eligible for the plan and how many are active, details of the assets in the plan (starting balance, etc). Larger plans (>100 employees) have to more significantly report details on fees. Larger plans also have to be audited. Participants of the plan must also receive a summary of the Form 5500. Smaller plans (under 100 employees) can file the Form 5500-SF, which has lower requirements for disclosure details. 85% of our plans file the Form 5500-SF.",,,𐄂,
Fractional Share,,A fractional share is a share of equity that is less than one full share. Your Betterment account holds fractional shares of each ETF to fully invest every dollar invested with us.,https://www.investopedia.com/terms/f/fractionalshare.asp,,,
FT William,,"3rd party vendor used by Betterment for generation and maintenance of certain types of plan details, including plan document generation and generation of compliance reports.",,,𐄂,
Hardship Distribution,,"Participant has to provide certain kinds of documentation (medical bill, rent invoice, funeral expenses) showing the purpose and amount of payments, which the plan sponsor then signs off on. A hardship distribution isn’t eligible for repayment.",https://www.investopedia.com/terms/h/hardship_withdrawal.asp,,𐄂,
HCE,Highly-compensated employee,"A type of employee for compliance tested. To be considered an HCE, an employee needs to make either >$125k/yr or have an ownership stake of >5% (NB: if their ownership stake is exactly 5%, they will not be considered an HCE).",https://www.investopedia.com/terms/h/highly-compensated-employee.asp,,𐄂,
HNW,High Net Worth,Prospects and customers with more than $2mm in investable assets,https://www.investopedia.com/terms/h/hnwi.asp,,,
HRBP,HR Business Partner,"Every department at Betterment has a designated HRBP. Their job is to support team members so that they feel empowered, valued, and engaged. They're also here as a confidant - someone you can go to if you need to talk to through things like acclimating to our culture, understanding our policies or company programs, and navigating sensitive subject matter. ",,𐄂,,
HSA,Health Savings Account,A type of savings account that lets you set aside pre-tax money to pay for qualified medical expenses. A product we offer in partnership with Optum,https://www.investopedia.com/terms/h/hsa.asp,,,
IA,Investable assets,The amount of money someone could potentially invest,,,,
IDology,,One of our tools for identity verification and fraud prevention.,,𐄂,,
ITD,Inception to date,An important concept in account balances for our users,,,,
Key Employee,,"An employee classification used in top-heavy testing. To be a key employee, you must meet one of the following criteria: have an ownership stake of >55%, have an ownership stake of >1% and an annual compensation of over $150,000, or be an officer with annual compensation of over $170,000.",https://www.investopedia.com/terms/k/key-employee.asp,,𐄂,
KPI,Key Performance Indicators,"The critical indicators of progress toward an intended result. KPIs provide a focus for strategic and operational improvement, create an analytical basis for decision making and help focus attention on what matters most",https://www.investopedia.com/terms/k/kpi.asp,,,
KYC,Know Your Customer/Client,"A set of standards used within the investment and financial services industry to verify customers, their risk profiles, and financial profile",https://www.investopedia.com/terms/k/knowyourclient.asp,,,
Lob,,A company we connect with to send checks and paper statements via USPS,,,,
LOB,Line of business,,,,,
LTCG,Long Term Capital Gain,,,,,
LTV,Lifetime Value,"The total expected revenues less servicing costs expected from a customer, discounted back to a certain date",,,,
MM,Mass Market,Prospects and customers between $10k and $100k in investable assets,,,,
MoM,Month over Month,,,,,
MTC,Millennium Trust Company,A company who offer a qualified IRA (means it must have a cash or cash equivalent portion). We’re legally obligated to move a termed 401(k) to a qualified IRA owned & operated by another company,,,𐄂,
Mutual Fund,,"A mutual fund is a professionally-managed investment vehicle that pools money and invests a basket of stocks, bonds and other securities. Mutual funds tend to have higher fees than ETFs and are not traded over an exchange.",https://www.investopedia.com/terms/m/mutualfund.asp,,,
MWR,Money-weighted return,The money-weighted rate of return (MWRR) calculates the performance of an investment that accounts for the size and timing of deposits or withdrawals.,https://www.investopedia.com/terms/m/money-weighted-return.asp,,,
Net deposit,,Net Deposits are the difference between Total Deposits and Total Withdrawals (TD-TW=ND),,,,
Net New,,"Brand new, not counting something that was there before",,,,
NHCE,Non highly-compensated employee,Used in ADP/ACP testing.,,,𐄂,
Northstar,,2 or more funded sub-accounts AND a recurring-deposit enabled (on any account),,𐄂,,
NPS,Net promoter score,"A widely used market research metric that typically takes the form of a single survey question asking respondents to rate the likelihood that they would recommend a company, product, or a service to a friend or colleague. ",,,,
OKR,Objectives & Key Results,The highest level goals and metrics that measure progress against the goal,,,,
OT,Omni-transfer,The ability to internally transfer between almost all types of Betterment goals & accounts,,𐄂,,
Participant,,An employee participating in a 401K plan,,,𐄂,
PDE,"Product, Design & Engineering",,,𐄂,,
PEO,Professional Employer Organization,"Essentially, outsourced HR functions, which aid small to medium organizations with benefits, compliance, etc. Justworks is the most notable PEO Betterment works with (or plans to).",https://www.investopedia.com/professional-employer-organization-definition-4766977,,𐄂,
PFOF,Payment for Order Flow,Getting paid by a third party to route trades to a certain party. Like getting a commission for using a specific clearing vendor,https://www.investopedia.com/terms/p/paymentoforderflow.asp,,,
PII,Personal Identifiable Information,Any data that could potentially identify a specific individual.,https://www.investopedia.com/terms/p/personally-identifiable-information-pii.asp,,,
Plan Sponsor,,"A plan sponsor is a designated party within a company that manages the company’s healthcare or retirement plan, such as a 401(k), for the benefit of the organization's employees.",https://www.investopedia.com/terms/p/plansponsor.asp,,𐄂,
Promissory Note,,"A legal document laying out the terms of a loan or other financial obligation. Within a 401(k) context, these are generated for loans specifically",https://www.investopedia.com/terms/p/promissorynote.asp,,𐄂,
Prospect,,Possible future retail customers. The population that might be interested in Betterment but hasn’t signed up yet,,,,
PRP,Personal Retirement Plan,A user flow after goal setup that focuses on questions about a user's retirement assumptions,,𐄂,,
QDIA,Qualified default investment alternative,"A plan selected by your employer that you will be entered into if you don’t make an explicit selection. Participants must have choices (at least a stock option, bond option, and cash equivalent option), but they also need to have a default option. QDIA must be a blended option, where the goal is that the value won’t erode over time.",,,𐄂,
QDRO,Qualified Domestic Relations Order,A formal indication of change of marital status approved by a court. There are distributions available as a result of this status change.,https://www.investopedia.com/terms/q/qdro.asp,,𐄂,
QNEC,Qualified non-elective contribution,A make-right contribution a plan has to make if it’s found to be top-heavy,,,𐄂,
RIA,Registered Investment Advisor,An individual financial advisor or a company that provides its clients with financial advice. RIAs have a fiduciary duty to their clients.,https://www.investopedia.com/terms/r/ria.asp,,,𐄂
RMD,Required Minimum Distribution,"The amount of money that must be withdrawn from an employer-sponsored retirement plan, traditional IRA, SEP, or SIMPLE individual retirement account (IRA) by owners and qualified retirement plan participants of retirement age.",https://www.investopedia.com/terms/r/requiredminimumdistribution.asp,,𐄂,𐄂
Rollover,,The transfer of the holdings of one retirement plan to another,"https://www.investopedia.com/terms/r/rollover.asp

https://www.betterment.com/resources/guide-betterment-rollovers",,,
Roth IRA,Individual retirement account,"Contributions to Roth IRAs are not tax-deductible, but the withdrawals in retirement are tax-free. Ability to contribute to Roth IRAs are phased out at higher incomes. The 2021 contribution limit is $6,000 a year.",https://www.investopedia.com/terms/r/rothira.asp,,,
RPA,Retirement Plan Advisor,A finacial advisor works with employers to establish and maintain a 401k plan.,,,𐄂,
Safe Harbor Plan,,"A fixed contribution an employer agrees to put in. You can only add it before the beginning of the year and only amend it out before the beginning of the next year. An employer contribution that’s mandatory and therefore the IRS simplifies compliance testing. In general, it’s either 3% to all eligible employees or a match up to 100% of the first 4%. The advantage for an employer is that the compliance burden is lighter: still testing, but less, and they don’t have to do the top-heavy test. Smaller companies are more likely to select a safe harbor plan because of the compliance benefits.",https://www.investopedia.com/terms/s/safeharbor.asp,,𐄂,
SAR,Summary annual report,"A summary version of the 5500. This is required to be distributed to participants every year. Like other disclosures, today B@W plan sponsors are responsible for distributing this to their participants themselves.",,,𐄂,
Savers,,Prospects and customers with less than $10k in investable assets ,,,,
SDA,Self-Directed Allocation,A feature that gives customers more agency to make specific choices about their portfolio and allocation.,,𐄂,,
SEC,Securities and Exchange Commission,A large independent US agency that enforces the law against market manipulation.,https://www.investopedia.com/terms/s/sec.asp,,,
SendSafely,,"Platform used for secure transmission of sensitive materials (bank account info, PII)",,𐄂,,
SEP IRA,Simplified Employee Pension individual retirement account ,"An individual retirement account for those who are self-employed or who are small business owners. For 2021, the contribution limit to SEP IRAs for those who are self-employed is the lesser of 20% of net income from self-employment, or $58,000.",https://www.investopedia.com/terms/s/sep.asp,,,
Shrink,,Customer servicing tool used by B4A Operations,,𐄂,,𐄂
SMB,Small- and medium-sized businesses,,,,𐄂,
SME,Subject Matter Expert,,,,,
Socure,,"One of our tools for verifying customer identity. Its predictive analytics platform applies artificial intelligence and machine learning techniques with trusted online/offline data intelligence from email, phone, address, IP, device, velocity, and the broader internet to verify identities in real time.",,𐄂,,
SOW,Share of Wallet,The percentage of a household’s investable assets an institution has under management.,https://www.investopedia.com/terms/s/share-of-wallet.asp,,,
SPD,Summary Plan Document,"ERISA requires participants and beneficiaries receive an SPD describing their rights, benefits, and responsibilities under the plan. It must be easy to understand and disclose fees, vesting, contact information, etc.",https://www.investopedia.com/terms/s/summary-plan-description.asp,,𐄂,
SRI,Socially Responsible Investing,A portfolio that reduces exposure to companies that are deemed to have a negative social impact while increasing exposure to companies that are deemed to have a positive social impact,https://www.investopedia.com/terms/s/sri.asp,,,
STCG,Short Term Capital Gain,,,,,
Stylecloset,,"Our internal design system for our website, web apps, mobile apps, and emails",http://style-closet.betterment.io/ (need to doorknock),𐄂,,
TACO,Total Cost of Ownership score,"Our metric to evaluate securities based on total cost to hold (expense ratio, index tracking difference) and total cost to trade (bid-ask spread, liquidity)",,𐄂,,
Tax-advantaged account,,"Tax-advantaged accounts are generally either tax-deferred or tax-exempt. 

Tax-deferred accounts, such as traditional IRAs and 401(k) plans, provide an upfront tax break. You may be able to deduct your contributions to these plans, which provides an immediate tax benefit. You pay taxes when you withdraw your money in retirement, which means the tax is deferred.

Tax-exempt accounts, including Roth IRAs and Roth 401(k)s, work differently. Contributions to these plans are made with after-tax dollars, so you don't receive the same upfront tax break that you do with traditional IRAs and 401(k)s. However, your investments grow tax-free and qualified withdrawals in retirement are tax-free as well. That's why these accounts are considered tax-exempt.",,,,
Taxable account,,"A taxable investment account lets you buy and sell investments like stocks, bonds, exchange traded funds (ETFs) and index funds. ",,,,
TCP,Tax Coordinated Portfolio,"A feature that automates a strategy called asset location. It starts by placing your assets that will be taxed highly in your IRAs, which have big tax breaks. Then, it places your lower-taxed assets in your taxable accounts. Only Betterment’s Retirement goal can use TCP.",https://www.betterment.com/resources/introducing-tax-coordinated-portfolio,𐄂,,
TDF,Target Date Fund,"A mutual fund that automatically resets the asset mix of stocks, bonds and cash equivalents in its portfolio according to a target date. Popular for retirement accounts",https://www.investopedia.com/terms/t/target-date_fund.asp,,,
TIP,Tax impact preview,A screen in the Retail app that shares the estimated tax impact of withdrawing money or changing allocation,https://www.betterment.com/resources/tax-impact-helps-you-get-the-full-picture,𐄂,,𐄂
TLH+,Tax Loss Harvesting,"A feature that automatically sells a security that has experienced a loss. By realizing a loss investors are able to offset taxes on both gains and income. The sold security is replaced by a similar one, maintaining an optimal asset allocation and expected returns.",https://www.betterment.com/resources/tax-loss-harvesting-methodology,𐄂,,
Top-Heavy,,"An annual compliance test which looks at the plan balance at the end of the year relative to the key employee assets within that. If key employee assets are more than 60% of the total plan assets, then the plan is found to have failed the test and they must make corrective distributions either into the plan to the non-key employees (generally 3% of their comp) or out of the plan from key employees.",,,𐄂,
Top-Paid Group,,"A Betterment-standard plan document provision which defines a limit on the number of HCE’s you can have by compensation status (owners will still be included). For B@W purposes, this is the top 20% of earners.",,,𐄂,
TPA,Third-party administrator,"An organization that is hired by the 401k plan sponsor (your employer usually) to run many day-to-day aspects of your retirement plans (B@W handles these functions if the plan doesn’t have its own TPA). Some responsibilities of the TPA typically include compliance testing, generation and maintenance of the plan document, and overseeing the Form 5500’s.",https://www.investopedia.com/terms/t/third-party-claims-administrator.asp,,𐄂,
Traditional IRA,Individual retirement account,"Contributions to Traditional IRAs are tax-deductible, but withdrawals in retirement are taxable. The 2021 contribution limit is $6,000 a year",https://www.investopedia.com/terms/t/traditionalira.asp,,,
TWR,Time-weighted return,A measure of the compound rate of growth in a portfolio. Often used to compare the returns of investment managers because it eliminates the distorting effects on growth rates created by inflows and outflows of money.,https://www.investopedia.com/terms/t/time-weightedror.asp,,,
UX,User Experience,,https://www.nngroup.com/articles/definition-user-experience/,,,
UTM,Urchin Tracking Module,Parameter to track online marketing campaign.,https://en.wikipedia.org/wiki/UTM_parameters,,,
VOTE,,"A first of its kind, sustainability-focused ETF, which will differentiate exclusively on how it plans to actively engage with the large cap US companies it holds via shareholder proposals and proxy voting",https://www.betterment.com/help/vote-etf,𐄂,,
YoY,Year over Year,A frequently used financial comparison for comparing two or more measurable events on an annualized basis.,https://www.investopedia.com/terms/y/year-over-year.asp,,,
YtD,Year to Date,Refers to the period of time beginning the first day of the current calendar year or fiscal year up to the current date.,https://www.investopedia.com/terms/y/ytd.asp,,,
MLP,Minimum lovable product,"The idea of lauching something customers will both use and love, as opposed to the idea of  ""minimum viable product"" (mvp) which is launching a more bare-bones version of the product first in order to get to market as fast as possible.",,,,
Spinwheel,,A company we partnered with to provide help managing your student debt to our B@W participants ,,𐄂,𐄂,
Performer,,"A tool used by our CX team to log-in or ""perform in"" to a specific customer's Betterment account in order to help the customer address a problem they're having",,𐄂,,
MFA,Multi-factor authentication,"Internally we use Duo at Betterment. After you login to Okta, it sends a push notification to your phone or could call you to verify that the login was made by the person that we trust.",,𐄂,,
AMA,Ask me anything,,,,,
SMB,Small and mid-size businesses,,,,,
